ID,Name,InChI,InChIKey,SMILES,Solubility,SD,Ocurrences,Group,MolWt,MolLogP,MolMR,HeavyAtomCount,NumHAcceptors,NumHDonors,NumHeteroatoms,NumRotatableBonds,NumValenceElectrons,NumAromaticRings,NumSaturatedRings,NumAliphaticRings,RingCount,TPSA,LabuteASA,BalabanJ,BertzCT
A-1791,propiophenone,"InChI=1S/C9H10O/c1-2-9(10)8-6-4-3-5-7-8/h3-7H,2H2,1H3",KRIOVPPHQSLHCZ-UHFFFAOYSA-N,CCC(=O)c1ccccc1,-2.0485000681,0.11090003405,2,G3,134.17799999999997,2.2793,41.063500000000026,10.0,1.0,0.0,1.0,2.0,52.0,1.0,0.0,0.0,1.0,17.07,60.68775156273055,2.8526279288191434,213.42969243757128
B-1330,"1(3h)-isobenzofuranone, 6-nitro-","InChI=1S/C8H5NO4/c10-8-7-3-6(9(11)12)2-1-5(7)4-13-8/h1-3H,4H2",RNWGZXAHUPFXLL-UHFFFAOYSA-N,[O-][N+](=O)c1ccc2COC(=O)c2c1,-2.6511,0.0,1,G1,179.13099999999997,1.2652,42.21590000000001,13.0,4.0,0.0,5.0,1.0,66.0,1.0,0.0,1.0,2.0,69.44,73.0834992468114,2.535184302783738,399.1305420920034
B-995,"1h-pyrrole-3-propanoic acid, 2,5-dihydro-4-methy","InChI=1S/C8H9NO4/c1-4-5(2-3-6(10)11)8(13)9-7(4)12/h2-3H2,1H3,(H,10,11)(H,9,12,13)",ZAFOEDODWZIXMO-UHFFFAOYSA-N,CC1=C(CCC(O)=O)C(=O)NC1=O,-0.6608,0.0,1,G1,183.163,-0.1758999999999999,42.71950000000001,13.0,3.0,2.0,5.0,3.0,70.0,0.0,0.0,1.0,1.0,83.47,74.42707387882767,2.7216330943056946,316.1057163358342
A-5464,1-(1-butoxypropan-2-yloxy)propan-2-ol,"InChI=1S/C10H22O3/c1-4-5-6-12-8-10(3)13-7-9(2)11/h9-11H,4-8H2,1-3H3",CUVLMZNMSPJDON-UHFFFAOYSA-N,CCCCOCC(C)OCC(C)O,-0.6530596225,0.01342981125,2,G3,190.283,1.589,52.821800000000046,13.0,3.0,1.0,3.0,8.0,80.0,0.0,0.0,0.0,0.0,38.69,81.04505426860878,3.14756805789066,104.34298055646552
C-817,quinidine,"InChI=1S/C20H24N2O2/c1-3-13-11-22-9-7-15(13)18(12-22)20(23)16-6-8-21-19-5-4-14(24-2)10-17(16)19/h3-6,8,10,13,15,18,20,23H,1,7,9,11-12H2,2H3",AQMBZJFAYLBACQ-UHFFFAOYSA-N,COC1=CC2=C(C=CN=C2C=C1)C(O)C3CN4CCC3C(C4)C=C,-3.36,0.0,1,G1,324.4240000000001,3.0307000000000013,94.97880000000004,24.0,4.0,1.0,4.0,4.0,126.0,2.0,3.0,3.0,5.0,45.59,142.31342620320493,1.7272777541598696,760.3873010425311
A-4946,"2,5,8,11-tetramethyldodec-6-yne-5,8-diol","InChI=1S/C16H30O2/c1-13(2)7-9-15(5,17)11-12-16(6,18)10-8-14(3)4/h13-14,17-18H,7-10H2,1-6H3",RHRRUYIZUBAQTQ-UHFFFAOYSA-N,CC(C)CCC(C)(O)C#CC(C)(O)CCC(C)C,-3.4375252922,0.0,1,G1,254.414,3.364200000000002,77.16760000000005,18.0,2.0,2.0,2.0,6.0,106.0,0.0,0.0,0.0,0.0,40.46,112.80107564002996,4.419430590928232,261.9541587634575
B-4304,p-methylsulfonyltoluene,"InChI=1S/C8H10O2S/c1-7-3-5-8(6-4-7)11(2,9)10/h3-6H,1-2H3",YYDNBUBMBZRNQQ-UHFFFAOYSA-N,Cc1ccc(cc1)[S](C)(=O)=O,-1.9873,0.0,1,G1,170.23299999999998,1.39852,44.28880000000002,11.0,2.0,0.0,3.0,1.0,60.0,1.0,0.0,0.0,1.0,34.14,66.78668573007675,3.2015159310664942,334.8597370000623
C-2326,methazolamide analog a14,"InChI=1S/C4H5F3N4O4S3/c1-11-2(10-18(14,15)4(5,6)7)16-3(9-11)17(8,12)13/h1H3,(H2,8,12,13)",TUDRWVDXIQKGIO-UHFFFAOYSA-N,CN1N=C(SC1=N[S](=O)(=O)C(F)(F)F)[S](N)(=O)=O,-1.16,0.0,1,G1,326.30300000000005,-1.1206999999999996,52.996,18.0,7.0,1.0,14.0,2.0,104.0,1.0,0.0,0.0,1.0,124.48,102.67274281207644,3.5095837579968685,724.3721148051803
F-911,4-[3-[(butan-2-ylamino)methyl]phenyl]sulfonylthiophene-2-sulfonamide,"InChI=1S/C15H20N2O4S3/c1-3-11(2)17-9-12-5-4-6-13(7-12)23(18,19)14-8-15(22-10-14)24(16,20)21/h4-8,10-11,17H,3,9H2,1-2H3,(H2,16,20,21)",ZBMVGQKSAIYMRW-UHFFFAOYSA-N,CCC(C)NCC1=CC=CC(S(=O)(=O)C2=CSC(S(N)(=O)=O)=C2)=C1,-1.33,0.0,1,G1,388.5360000000001,2.1164,94.17870000000003,24.0,6.0,2.0,9.0,7.0,132.0,2.0,0.0,0.0,2.0,106.32999999999998,146.2294983227779,2.310179359519394,917.7007392560308
B-1027,(z)-2-butenoic acid (isocrotonic acid),"InChI=1S/C4H6O2/c1-2-3-4(5)6/h2-3H,1H3,(H,5,6)/b3-2-",LDHQCZJRKDOVOX-IHWYPQMZSA-N,C\C=C/C(O)=O,1.065,0.0,1,G1,86.08999999999999,0.6471,22.449799999999996,6.0,1.0,1.0,2.0,1.0,34.0,0.0,0.0,0.0,0.0,37.3,36.10023019107489,3.301627871993482,73.61727061434749
